accession,domain,family,genome_type,host,isolate,order,size,subfamily,subgenome_type,topology,virus
NC_028675,Viruses,Podoviridae,Caudovirales,Acinetobacter baumannii M68316,,,41526,,Friunavirus,linear,Acinetobacter phage phiAB1
NC_028673,Viruses,Siphoviridae,Caudovirales,Gordonia malaquae CON60,,,73419,,Gordonia virus GMA7,linear,Gordonia phage GMA7
NC_028670,Viruses,Podoviridae,Caudovirales,Klebsiella pneumoniae,,,44203,,Drulisvirus,linear,Klebsiella phage KpV41
NC_028669,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus Jevons B,,,43012,,unclassified Phietavirus,linear,Staphylococcus phage phiJB
NC_028668,Viruses,Siphoviridae,Caudovirales,Gordonia malaquae BEN700,,,77779,,Gordonia virus GMA3,linear,Gordonia phage GMA3
NC_028667,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa,,,39593,,Pseudomonas virus PM105,linear,Pseudomonas phage vB_PaeS_PM105
NC_028666,Viruses,Siphoviridae,Caudovirales,Streptococcus parauberis,,,36595,,,linear,Streptococcus phage Str-PAP-1
NC_028665,Viruses,Siphoviridae,Caudovirales,Gordonia terrae strain CON34,,,56982,,,linear,Gordonia phage GTE6
NC_028664,Viruses,Podoviridae,Caudovirales,Klebsiella pneumoniae,,,43963,,Drulisvirus,linear,Klebsiella phage Kp2
NC_028663,Viruses,Myoviridae,Caudovirales,Prochlorococcus sp. NATL2A,,,188632,,,linear,Cyanophage P-TIM40
NC_028662,Viruses,Siphoviridae,Caudovirales,Mycobacterium phlei,,,50418,,unclassified Fromanvirus,linear,Mycobacterium phage Phlei
NC_028661,Viruses,Podoviridae,Caudovirales,Pseudomonas syringae pv. actinidiae KBE9,,,41149,,Teseptimavirus,linear,Pseudomonas phage PPPL-1
NC_028660,Viruses,Podoviridae,Caudovirales,Escherichia coli O111:H2 strain ED 191,,,61035,,Oslovirus,linear,Escherichia phage phi191
NC_028657,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa YMC11/02/R656,,,60919,,,linear,Pseudomonas phage YMC11/02/R656
NC_028656,Viruses,Podoviridae,Caudovirales,Escherichia coli O157:H7 strain 71074,,,65955,,unclassified Oslovirus,linear,Enterobacteria phage VT2phi_272
NC_028655,Viruses,Podoviridae,Caudovirales,Yersinia enterocolitica 6471/76-c serotype O:3,,,39235,,Teseptimavirus,linear,Yersinia phage vB_YenP_AP10
NC_028653,Viruses,Siphoviridae,Caudovirales,Gordonia terrae strain G232,,,67617,,,linear,Gordonia phage GTE8
NC_028652,Viruses,Myoviridae,Caudovirales,Pseudomonas aeruginosa clinical strain TJC422,,,94109,,unclassified Pakpunavirus,linear,Pseudomonas phage C11
NC_028651,Viruses,,unclassified DNA viruses,Hydrogenobaculum,,,19351,,unclassified dsDNA phages,linear,Hydrogenobaculum phage 1
NC_028449,Viruses,Podoviridae,Caudovirales,Escherichia coli PA2,,,63569,,Oslovirus,linear,Escherichia phage PA2
NC_028448,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,167467,,unclassified Tequatrovirus,linear,Escherichia phage slur14
NC_028248,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,136896,,Escherichia virus slur16,linear,Escherichia phage slur16
NC_027988,Viruses,Podoviridae,Caudovirales,Citrobacter sp. TM1552,,,47636,,,linear,Citrobacter phage CVT22
NC_026610,Viruses,Siphoviridae,Caudovirales,Vibrio parahaemolyticus,,,56637,,,linear,Vibrio phage VpKK5
NC_024142,Viruses,Podoviridae,Caudovirales,Escherichia coli,,,72583,,Gamaleyavirus,circular,Escherichia phage Bp4
NC_021529,Viruses,Myoviridae,Caudovirales,Vibrio natriegens HER1138,,,247511,,Schizotequatrovirus,linear,Vibrio phage nt-1
NC_020490,Viruses,Siphoviridae,Caudovirales,Staphylococcus hominis,,,44714,,unclassified Phietavirus,linear,Staphylococcus phage StB12
NC_018087,Viruses,Myoviridae,Caudovirales,Acinetobacter baumannii (clinical strain AB09V),,,166687,,unclassified Tevenvirinae,linear,Acinetobacter phage ZZ1
NC_004914,Viruses,Podoviridae,Caudovirales,Escherichia coli O157:H7 Morioka V526,,,62706,,Traversvirus,circular,Escherichia phage Stx2 II
NC_004913,Viruses,Podoviridae,Caudovirales,Escherichia coli O157:H7 Morioka V526,,,59866,,unclassified Traversvirus,circular,Escherichia Stx1 converting phage
NC_002484,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa,,,56426,,Detrevirus,linear,Pseudomonas virus D3
NC_011085,Viruses,Podoviridae,Caudovirales,Morganella morganii,,,38457,,Teseptimavirus,linear,Morganella phage MmP1
NC_009799,Viruses,Siphoviridae,Caudovirales,Brevibacterium flavum CCM251,,,42972,,Corynebacterium virus BFK20,linear,Corynebacterium phage BFK20
NC_003390,Viruses,Podoviridae,Caudovirales,Synechococcus sp. WH7805,,,46675,,Autographivirinae,linear,Synechococcus virus P60
NC_027995,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,41666,,Jilinvirus,circular,Escherichia phage vB_EcoM_ECO1230-10
NC_027987,Viruses,Siphoviridae,Caudovirales,Leuconostoc mesenteroides 1-A4,,,29508,,Unaquatrovirus,linear,Leuconostoc phage 1-A4
NC_027983,Viruses,Myoviridae,Caudovirales,Escherichia coli O157:H7,,,167435,,Tequatrovirus,linear,Escherichia phage AR1
NC_027979,Viruses,Myoviridae,Caudovirales,Escherichia coli B,,,168401,,unclassified Tequatrovirus,linear,Enterobacteria phage RB68
NC_027997,Viruses,Myoviridae,Caudovirales,Campylobacter sp.,,,177534,,Firehammervirus,circular,Campylobacter virus CP220
NC_027994,Viruses,Siphoviridae,Caudovirales,Escherichia coli O18:K1:H7,,,41632,,Kagunavirus,circular,Escherichia phage K1-dep(1)
NC_027993,Viruses,Siphoviridae,Caudovirales,Escherichia coli O18:K1:H7,,,43587,,Kagunavirus,circular,Escherichia phage K1-dep(4)
NC_027991,Viruses,Myoviridae,Caudovirales,Staphylococcus aureus,,,147303,,unclassified Ounavirinae,linear,Staphylococcus phage SA1
NC_027984,Viruses,Podoviridae,Caudovirales,Escherichia coli O157:H7,,,57677,,Traversvirus,linear,Escherichia phage vB_EcoP_24B
NC_027982,Viruses,Siphoviridae,Caudovirales,Lactobacillus fermentum strain YB5,,,32847,,,linear,Lactobacillus phage phiPYB5
NC_027981,Viruses,Myoviridae,Caudovirales,Vibrio parahaemolyticus,,,42612,,Vhmlvirus,linear,Vibrio phage VP585
NC_024124,Viruses,Myoviridae,Caudovirales,avian pathogenic Escherichia coli and genetically engineered Escherichia coli B and K strain,,,169148,,Mosigvirus,linear,Escherichia phage vB_EcoM_JS09
NC_026607,Viruses,Myoviridae,Caudovirales,Salmonella Typhimurium ATCC 14028,,,159914,,Salmonella virus STP4a,circular,Salmonella phage STP4-a
NC_027397,Viruses,Podoviridae,Caudovirales,Vibrio cholerae 2095,,,39725,,unclassified Enhodamvirus,linear,Vibrio phage QH
NC_027396,Viruses,Siphoviridae,Caudovirales,Streptococcus pneumoniae,,,33756,,,linear,Streptococcus phage SpSL1
NC_027395,Viruses,Podoviridae,Caudovirales,Escherichia coli ECOR10,,,77327,,Kuravirus,linear,Escherichia phage vB_EcoP_SU10
NC_027393,Viruses,Podoviridae,Caudovirales,Vibrio cholerae 2095,,,39530,,unclassified Enhodamvirus,linear,Vibrio phage J2
NC_027391,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL041M10,,29412,,Pahexavirus,linear,Propionibacterium phage PHL041M10
NC_027390,Viruses,Podoviridae,Caudovirales,Proteus mirabilis strain 824 (LMMB NIBOCH collection),,,45169,,unclassified Zindervirus,linear,Proteus phage PM 93
NC_027389,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL141N00,,29494,,Pahexavirus,linear,Propionibacterium phage PHL141N00
NC_027388,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa,,,73050,,unclassified Litunavirus,linear,Pseudomonas phage YH6
NC_027386,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL152M00,,29247,,Pahexavirus,linear,Propionibacterium phage PHL152M00
NC_027385,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL092M00,,29261,,Pahexavirus,linear,Propionibacterium phage PHL092M00
NC_027384,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa Ps33,,,37359,,unclassified Casadabanvirus,linear,Pseudomonas phage H70
NC_027383,Viruses,Siphoviridae,Caudovirales,Escherichia coli ATCC 11303,,,44613,,Dhillonvirus,linear,Escherichia phage YD-2008.s
NC_027382,Viruses,Myoviridae,Caudovirales,Shigella flexneri serotype 4a,,,37146,,Muvirus,linear,Shigella phage SfMu
NC_027381,Viruses,Podoviridae,Caudovirales,Escherichia coli,,,68365,,Ithacavirus,linear,Escherichia phage Pollock
NC_027379,Viruses,Podoviridae,Caudovirales,Proteus mirabilis strain 922 (LMMB NIBOCH collection),,,43642,,unclassified Zindervirus,linear,Proteus phage PM 85
NC_027377,Viruses,Siphoviridae,Caudovirales,Leuconostoc mesenteroides subsp. mesenteroides D6a,,,28921,,Unaquatrovirus,linear,Leuconostoc phage Ln-8
NC_027375,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa PA5-1-1,,,43227,,unclassified Phikmvvirus,linear,Pseudomonas phage vB_PaeP_PPA-ABTNL
NC_027373,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL030N00,,29423,,unclassified Pahexavirus,linear,Propionibacterium phage PHL030N00
NC_027370,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL179M00,,29428,,Pahexavirus,linear,Propionibacterium phage PHL179M00
NC_027367,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL132N00,,29003,,Pahexavirus,linear,Propionibacterium phage PHL132N00
NC_027363,Viruses,Podoviridae,Caudovirales,Proteus mirabilis 821,,,41480,,unclassified Autographivirinae,linear,Proteus phage PM 75
NC_027362,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL116M00,,29394,,Pahexavirus,linear,Propionibacterium phage PHL116M00
NC_027361,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL085N00,,29454,,unclassified Pahexavirus,linear,Propionibacterium phage PHL085N00
NC_027359,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL082M00,,29491,,unclassified Pahexavirus,linear,Propionibacterium phage PHL082M00
NC_027358,Viruses,Siphoviridae,Caudovirales,Leuconostoc mesenteroides subsp. mesenteroides L79-1,,,28527,,Unaquatrovirus,linear,Leuconostoc phage Ln-9
NC_027357,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL025M00,,29496,,Pahexavirus,linear,Propionibacterium phage PHL025M00
NC_027356,Viruses,Siphoviridae,Caudovirales,Escherichia coli,,,108065,,Tequintavirus,linear,Escherichia virus DT57C
NC_027354,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL301M00,,29323,,Pahexavirus,linear,Propionibacterium phage PHL301M00
NC_027350,Viruses,Siphoviridae,Caudovirales,Citrobacter freundii,,,49816,,Tlsvirus,linear,Citrobacter virus Stevie
NC_027346,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL171M01,,29327,,Pahexavirus,linear,Propionibacterium phage PHL171M01
NC_027342,Viruses,Podoviridae,Caudovirales,Proteus mirabilis 73,,,41268,,unclassified Autographivirinae,linear,Proteus phage PM16
NC_027341,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis,WRP3,,130008,,,linear,Lactococcus phage WRP3
NC_027339,Viruses,Myoviridae,Caudovirales,Shigella flexneri serotype 1a strain 019,,,38389,,,linear,Enterobacteria phage SfI
NC_027337,Viruses,Myoviridae,Caudovirales,Escherichia coli B strains,VpaE1,,88403,,Felixounavirus,linear,Escherichia phage vB_EcoM-VpaE1
NC_027336,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL009M11,,29503,,Pahexavirus,linear,Propionibacterium phage PHL009M11
NC_027333,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL070N00,,29421,,Pahexavirus,linear,Propionibacterium phage PHL070N00
NC_027332,Viruses,Myoviridae,Caudovirales,Acinetobacter baumannii YMC13/03/R2096,,,98170,,,linear,Acinetobacter phage YMC13/03/R2096
NC_027331,Viruses,Myoviridae,Caudovirales,Citrobacter freundii,,,170341,,Moonvirus,linear,Citrobacter phage Moon
NC_027329,Viruses,Myoviridae,Caudovirales,Salmonella enterica serovar Pullorum 96116,,,87510,,Salmonella virus SP116,linear,Salmonella phage vB_SPuM_SP116
NC_027401,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL095N00,,29751,,Pahexavirus,linear,Propionibacterium phage PHL095N00
NC_027400,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL055N00,,29264,,unclassified Pahexavirus,linear,Propionibacterium phage PHL055N00
NC_027399,Viruses,Myoviridae,Caudovirales,Klebsiella pneumoniae,,,346602,,Klebsiella virus K64-1,linear,Klebsiella phage K64-1
NC_027398,Viruses,Podoviridae,Caudovirales,Shigella flexneri serotype 7a,,,38742,,Lederbergvirus,linear,Enterobacteria phage Sf101
NC_027387,Viruses,Podoviridae,Caudovirales,Escherichia coli HY05C,,,38810,,Teseptimavirus,linear,Escherichia phage CICC 80001
NC_027371,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,,,29741,,Pahexavirus,linear,Propionibacterium phage Pacnes 2012-15
NC_027369,Viruses,Myoviridae,Caudovirales,Escherichia coli serotype O157:H7,,,86231,,Felixounavirus,linear,Escherichia phage EC6
NC_027368,Viruses,Myoviridae,Caudovirales,Vibrio vulnificus,,,33828,,unclassified Hpunavirus,linear,Vibrio phage PV94
NC_027364,Viruses,Myoviridae,Caudovirales,Escherichia coli O157,,,348113,,unclassified Asteriusvirus,linear,Escherichia phage PBECO 4
NC_027353,Viruses,Myoviridae,Caudovirales,Yersinia pestis,,,167063,,Tequatrovirus,linear,Yersinia phage phiD1
NC_027340,Viruses,Ackermannviridae,Caudovirales,Erwinia amylovora 1/79,,,162160,,,linear,Erwinia phage phiEa2809
NC_027334,Viruses,Myoviridae,Caudovirales,Aurantimonas sp. C5-1,,,47800,,,linear,Aurantimonas phage AmM-1
NC_027330,Viruses,Podoviridae,Caudovirales,Escherichia coli,,,45403,,unclassified Zindervirus,linear,Escherichia phage ECBP5
NC_027394,Viruses,Podoviridae,Caudovirales,Bacillus megaterium,,,40214,,Pagevirus,linear,Bacillus phage Pookie
NC_027378,Viruses,Siphoviridae,Caudovirales,Escherichia coli,,,56776,,Seuratvirus,linear,Escherichia phage Seurat
NC_027372,Viruses,Podoviridae,Caudovirales,Bacillus megaterium,,,39639,,Pagevirus,linear,Bacillus phage Pascal
NC_027295,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL199M00,,29806,,Pahexavirus,linear,Propionibacterium phage PHL199M00
NC_027299,Viruses,,unclassified DNA viruses,Sulfitobacter sp. CB2047,,,42092,,unclassified dsDNA phages,linear,Sulfitobacter phage NYA-2014a
NC_027296,Viruses,Myoviridae,Caudovirales,Rhizobium etli GR56,,,53721,,unclassified Kleczkowskavirus,linear,Rhizobium phage RHEph06
NC_027297,Viruses,Siphoviridae,Caudovirales,Salmonella typhimurium,,,123475,,Tequintavirus,linear,Salmonella virus Stitch
NC_027294,Viruses,Siphoviridae,Caudovirales,Propionibacterium acnes,PHL150M00,,29438,,unclassified Pahexavirus,linear,Propionibacterium phage PHL150M00
NC_027292,Viruses,Podoviridae,Caudovirales,Pseudomonas fluorescens BIM B-582; Pseudomonas putida BIM B-68; Pseudomonas putida BIM B-159,,,39167,,Teseptimavirus,linear,Pseudomonas phage Pf-10
NC_027293,Viruses,Myoviridae,Caudovirales,Citrobacter freundii,,,87999,,Mooglevirus,linear,Citrobacter phage Moogle
NC_027204,Viruses,Myoviridae,Caudovirales,Sinorhizobium meliloti,,,194701,,Emdodecavirus,linear,Sinorhizobium phage phiM12
NC_027125,Viruses,Myoviridae,Caudovirales,Flavobacterium columnare B185,,,47142,,Flavobacterium virus FCL2,linear,Flavobacterium phage FCL-2
NC_027119,Viruses,Ackermannviridae,Caudovirales,Salmonella enterica serovar Typhimurium,,,157498,,Kuttervirus,linear,Salmonella phage Det7
NC_027120,Viruses,Siphoviridae,Caudovirales,Lactococcus lactis SMQ-388,,,36892,,,linear,Lactococcus phage 1358
NC_027118,Viruses,Podoviridae,Caudovirales,Vibrio cholerae O1 Classic E8021,,,39422,,Enhodamvirus,linear,Vibrio phage phiVC8
NC_021190,Viruses,Siphoviridae,Caudovirales,Escherichia coli,,,46150,,,linear,Enterobacteria phage phi80
NC_026613,Viruses,,Inoviridae,Homo sapiens,,environmental samples,5210,,,circular,Uncultured phage WW-nAnB strain 3
NC_026612,Viruses,,Inoviridae,Homo sapiens,,environmental samples,5077,,,circular,Uncultured phage WW-nAnB strain 2
NC_026609,Viruses,Siphoviridae,Caudovirales,Lactobacillus delbrueckii subsp. lactis,Ldl1,,74806,,,circular,Lactobacillus phage Ldl1
NC_026606,Viruses,Myoviridae,Caudovirales,Arthrobacter sp.,,,71200,,Radnorvirus,linear,Arthrobacter phage vB_ArtM-ArV1
NC_026605,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,46869,,Fishburnevirus,linear,Mycobacterium phage Malithi
NC_026602,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa,,,43639,,unclassified Phikmvvirus,linear,Pseudomonas phage vB_PaeP_PAO1_Ab05
NC_026601,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa,,,37238,,unclassified Casadabanvirus,linear,Pseudomonas phage vB_PaeS_PAO1_Ab30
NC_026600,Viruses,Myoviridae,Caudovirales,Pseudomonas aeruginosa,,,66181,,Pbunavirus,linear,Pseudomonas phage vB_PaeM_C1-14_Ab28
NC_026599,Viruses,Podoviridae,Caudovirales,Pseudomonas aeruginosa,,,45808,,Bruynoghevirus,linear,Pseudomonas phage vB_PaeP_C2-10_Ab22
NC_026597,Viruses,Siphoviridae,Caudovirales,Mycobacteruim smegmatis mc2 155,,,63334,,,linear,Mycobacterium phage Sparky
NC_026594,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa,,,56537,,Abidjanvirus,linear,Pseudomonas phage vB_PaeS_PAO1_Ab18
NC_026590,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,90460,,Gaiavirus,linear,Mycobacterium phage Gaia
NC_026589,Viruses,Siphoviridae,Caudovirales,Mycobacterium smegmatis mc2 155,,,55832,,Chenonavirus,linear,Mycobacterium phage Sbash
NC_026587,Viruses,Myoviridae,Caudovirales,Pseudomonas aeruginosa,,,86246,,Nankokuvirus,linear,Pseudomonas phage vB_PaeM_PAO1_Ab03
NC_026586,Viruses,Myoviridae,Caudovirales,Pseudomonas aeruginosa,,,66299,,unclassified Pbunavirus,linear,Pseudomonas phage vB_PaeM_PAO1_Ab27
NC_026017,Viruses,Siphoviridae,Caudovirales,Salmonella paratyphi A CMCC50973,,,41880,,Jerseyvirus,circular,Salmonella phage LSPA1
NC_026016,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus HIP07256,,,43748,,unclassified Biseptimavirus,circular,Staphylococcus phage phiBU01
NC_026014,Viruses,Myoviridae,Caudovirales,Escherichia coli K88,,,35814,,unclassified Peduovirus,circular,Enterobacteria phage P88
NC_026010,Viruses,Siphoviridae,Caudovirales,Shigella flexneri ATCC 12022,,,50109,,Tunavirus,circular,Shigella phage pSf-2
NC_025830,Viruses,Myoviridae,Caudovirales,Escherichia coli O157:H7,,,120938,,Escherichia virus Av05,circular,Escherichia phage Av-05
NC_025822,Viruses,Podoviridae,Caudovirales,Vibrio alginolyticus,,,42544,,unclassified Zindervirus,circular,Vibrio phage phi-A318
NC_023693,Viruses,Myoviridae,Caudovirales,Escherichia coli K92,,,148612,,,linear,Enterobacteria phage phi92
NC_025454,Viruses,,Inoviridae,Ralstonia solanacearum,,,7679,,Habenivirus,circular,Ralstonia phage RS603
NC_025453,Viruses,Siphoviridae,Caudovirales,Enterococcus faecalis,,,40286,,,circular,Enterococcus phage EFC-1
NC_025446,Viruses,Myoviridae,Caudovirales,Escherichia coli O157:H7,,,157308,,Viunavirus,linear,Escherichia phage ECML-4
NC_025445,Viruses,Podoviridae,Caudovirales,Escherichia coli K-12 IJ2038,,,40981,,unclassified Phikmvvirus,linear,Enterobacteria phage J8-65
NC_025441,Viruses,Myoviridae,Caudovirales,Escherichia coli O157:H7,,,66854,,,linear,Escherichia phage ECML-117
NC_025437,Viruses,Myoviridae,Caudovirales,Shigella flexneri ATCC 2587,,,169062,,Mosigvirus,linear,Shigella phage Shf125875
NC_025434,Viruses,Podoviridae,Caudovirales,Shigella flexneri 2a,,,62699,,Diegovirus,linear,Shigella phage POCJ13
NC_025422,Viruses,Ackermannviridae,Caudovirales,Caulobacter crescentus CB15,,,155997,unclassified Ackermannviridae,,linear,Caulobacter phage Cr30
NC_025417,Viruses,Herelleviridae,Caudovirales,Staphylococcus xylosus SMQ121,,,140903,,Kayvirus,linear,Staphylococcus phage Team1
NC_025460,Viruses,Siphoviridae,Caudovirales,Staphylococcus aureus Sau119,,,42600,,unclassified Biseptimavirus,circular,Staphylococcus phage phiSa119
NC_025471,Viruses,Siphoviridae,Caudovirales,Idiomarinaceae bacterium M2-2,,,36844,,,linear,Idiomarinaceae phage Phi1M2-2
NC_025452,Viruses,Ackermannviridae,Caudovirales,Dickeya sp.,,,155346,,Limestonevirus,linear,Dickeya phage RC-2014
NC_025448,Viruses,Myoviridae,Caudovirales,Escherichia coli B,,,165179,,unclassified Tequatrovirus,linear,Enterobacteria phage RB27
NC_025425,Viruses,Myoviridae,Caudovirales,Escherichia coli O104:H4,,,163424,,Escherichia virus GEC3S,linear,Enterobacteria phage GEC-3S
NC_025419,Viruses,Myoviridae,Caudovirales,Escherichia coli B,,,168402,,Tequatrovirus,linear,Escherichia phage RB3
NC_025467,Viruses,Podoviridae,Caudovirales,Enterococcus faecium,,,17972,,unclassified Picovirinae,circular,Enterococcus phage vB_Efae230P-4
NC_025465,Viruses,Siphoviridae,Caudovirales,Enterococcus faecalis,,,40923,,Enterococcus virus EfaCPT1,circular,Enterococcus phage EfaCPT1
NC_025464,Viruses,Podoviridae,Caudovirales,Synechococcus sp. CB0101,,,44147,,unclassified Autographivirinae,circular,Synechococcus phage S-CBP4
NC_025462,Viruses,Myoviridae,Caudovirales,Acinetobacter baumannii,,,99730,,,circular,Acinetobacter phage vB_AbaM_Acibel004
NC_025461,Viruses,Podoviridae,Caudovirales,Synechococcus sp. CB0101,,,45871,,unclassified Autographivirinae,circular,Synechococcus phage S-CBP3
NC_025459,Viruses,Myoviridae,Caudovirales,Aeromonas hydrophila JUNAH,,,53744,,,circular,Aeromonas phage pAh6-C
NC_025457,Viruses,Podoviridae,Caudovirales,Acinetobacter baumannii,,,42654,,unclassified Friunavirus,circular,Acinetobacter phage vB_AbaP_Acibel007
NC_025456,Viruses,Podoviridae,Caudovirales,Synechococcus sp. CB0101,,,46547,,unclassified Autographivirinae,circular,Synechococcus phage S-CBP1
NC_025455,Viruses,Podoviridae,Caudovirales,Synechococcus sp. CB0208,,,46237,,unclassified Autographivirinae,circular,Synechococcus phage S-CBP2
NC_025451,Viruses,Podoviridae,Caudovirales,Yersinia enterocolitica serotype O:3,,,38646,,Teseptimavirus,linear,Yersinia phage vB_YenP_AP5
NC_025450,Viruses,Podoviridae,Caudovirales,Lelliottia sp. GL2,,,44366,,unclassified Zindervirus,linear,Lelliottia phage phD2B
NC_025449,Viruses,Myoviridae,Caudovirales,Escherichia coli O157:H7,,,166783,,Tequatrovirus,linear,Escherichia phage ECML-134
NC_025447,Viruses,Myoviridae,Caudovirales,Escherichia coli MuLB70.1,,,348532,,Escherichia virus 121Q,linear,Escherichia phage 121Q
NC_025443,Viruses,Siphoviridae,Caudovirales,Salmonella enterica serovar Typhiurium strain LT2,,,52869,,Nonanavirus,linear,Salmonella phage 9NA
NC_025442,Viruses,Siphoviridae,Caudovirales,Salmonella enterica,,,59578,,Chivirus,linear,Salmonella virus Chi
NC_025439,Viruses,Siphoviridae,Caudovirales,Idiomarinaceae bacterium N2-2,,,34773,,,linear,Idiomarinaceae phage 1N2-2
NC_025431,Viruses,Podoviridae,Caudovirales,Mesorhizobium loti R7ANS,,,45718,,unclassified Autographivirinae,linear,Mesorhizobium phage vB_MloP_Lo5R7ANS
NC_025430,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,42351,,Jilinvirus,linear,Escherichia phage vB_EcoM-ep3
NC_025429,Viruses,Myoviridae,Caudovirales,Rhizobium leguminosarum biovar viciae VF39,,,156446,,,linear,Rhizobium phage vB_RleM_P10VF
NC_025428,Viruses,Siphoviridae,Caudovirales,Ruegeria pomeroyi DSS-3,,,59601,,,linear,Ruegeria phage DSS3-P1
NC_025427,Viruses,Myoviridae,Caudovirales,Rhizobium leguminosarum strain F1,,,54506,,,linear,Rhizobium phage vB_RleM_PPF1
NC_025424,Viruses,Siphoviridae,Caudovirales,Bacillus thuringiensis subsp. Kurstaki,,,45648,,,linear,Bacillus phage Waukesha92
NC_025421,Viruses,Siphoviridae,Caudovirales,Lactobacillus delbrueckii,,,29616,,Cequinquevirus,linear,Lactobacillus phage Ld3
NC_025420,Viruses,Siphoviridae,Caudovirales,Lactobacillus delbrueckii,,,32975,,Cequinquevirus,linear,Lactobacillus phage Ld17
NC_025415,Viruses,Siphoviridae,Caudovirales,Lactobacillus delbrueckii,,,32799,,Cequinquevirus,linear,Lactobacillus phage Ld25A
NC_024125,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,168470,,Tequatrovirus,linear,Escherichia phage vB_EcoM_112
NC_024369,Viruses,Myoviridae,Caudovirales,Vibrio cholerae,,,41569,,,linear,Vibrio phage X29
NC_025115,Viruses,Myoviridae,Caudovirales,Ralstonia solanacearum,,,40002,,unclassified Peduovirus,circular,Ralstonia phage RSY1
NC_024794,Viruses,Myoviridae,Caudovirales,Escherichia coli,,,167318,,Escherichia virus PhAPEC2,linear,Escherichia phage vB_EcoM_PhAPEC2
NC_024793,Viruses,Siphoviridae,Caudovirales,E. coli O157:H7 R508 (phage type 14),,,46847,,Rogunavirus,linear,Escherichia phage vB_EcoS_AHP42
NC_024791,Viruses,Podoviridae,Caudovirales,Vibrio cholerae,,,50440,,,linear,Vibrio phage ICP2_2013_A_Haiti
NC_024790,Viruses,Podoviridae,Caudovirales,Escherichia coli,,,71778,,Gamaleyavirus,linear,Escherichia phage vB_EcoP_PhAPEC7
NC_024789,Viruses,Siphoviridae,Caudovirales,E. coli O157:H7 R508 (phage type 14),,,45746,,Rogunavirus,linear,Escherichia phage vB_EcoS_AKS96
NC_024785,Viruses,Myoviridae,Caudovirales,Acinetobacter baumannii YMC/13/01/C62,,,44844,,Obolenskvirus,linear,Acinetobacter phage YMC-13-01-C62
NC_024784,Viruses,Siphoviridae,Caudovirales,E. coli O157:H7 R508 (phage type 14),,,46440,,Rogunavirus,linear,Escherichia phage vB_EcoS_AHS24
NC_024783,Viruses,Siphoviridae,Caudovirales,Escherichia coli,,,44332,,Dhillonvirus,linear,Escherichia phage EK99P-1
NC_024782,Viruses,Siphoviridae,Caudovirales,Pseudomonas aeruginosa PA14,,,36838,,unclassified Casadabanvirus,linear,Pseudomonas phage MP48
NC_024711,Viruses,Podoviridae,Caudovirales,unclassified bacterium,,environmental samples,97065,,,circular,uncultured crAssphage
NC_020858,Viruses,,unclassified DNA viruses,Sulfitobacter sp. CB2047,,,40929,,unclassified dsDNA phages,circular,Sulfitobacter phage pCB2047-A
